time,bull_ratio_1,bull_ratio_0,bull_ratio_2,bull_amount_0,bull_amt_change_2,bull_amount_2,bull_amt_change_1,lock_price_change_1,bull_amount_1,bull_amt_change_0,lock_price_change_2,bull_ratio_change_0,total_amount_2,bull_ratio_change_2,total_amount_0,bull_ratio_change_1,total_amount_1
2023-03-12 03:12:24.236000000,2.06,6.1,2.29,3.83196,2.55,12.1819,0.47,0.99989,5.78509,0.66,1.00125,2.96,21.62573,1.4,4.58277,0.9,11.22718
2023-03-12 03:17:30.342000000,1.6,2.76,2.06,1.70733,0.47,5.78509,0.92,1.00147,5.31499,0.32,0.99989,1.72,11.22718,0.9,2.67585,0.78,14.12366
2023-03-12 03:22:35.858000000,2.08,2.05,1.6,2.11334,0.92,5.31499,1.54,0.99989,8.15914,0.26,1.00147,0.99,14.12366,0.78,4.11767,1.3,15.68568
2023-03-12 03:27:42.426000000,1.66,1.71,2.08,1.61331,1.54,8.15914,0.38,0.99793,3.08721,0.52,0.99989,1.03,15.68568,1.3,3.87141,0.8,7.76664
2023-03-12 03:32:48.450000000,1.8,1.45,1.66,0.58977,0.38,3.08721,1.54,0.99957,4.74995,0.12,0.99793,0.81,7.76664,0.8,1.88662,1.08,10.71336
2023-03-12 03:37:57.720000000,1.55,3.65,1.8,4.11236,1.54,4.74995,1.05,0.9995,4.98842,0.82,0.99957,2.35,10.71336,1.08,5.66238,0.86,14.05463
2023-03-12 03:43:02.601000000,1.97,4.15,1.55,1.11982,1.05,4.98842,1.42,1.00075,7.10578,0.16,0.9995,2.11,14.05463,0.86,1.47529,1.27,14.44497
2023-03-12 03:48:12.772000000,1.63,3.78,1.97,4.01733,1.42,7.10578,0.37,1.00047,2.61368,1.54,1.00075,2.32,14.44497,1.27,5.46238,0.83,6.73005
2023-03-12 03:53:17.747000000,1.91,2.48,1.63,1.41917,0.37,2.61368,2.2,0.99986,5.74249,0.25,1.00047,1.3,6.73005,0.83,2.37814,1.17,12.08676
2023-03-12 03:58:25.338000000,1.92,1.12,1.91,0.6173,2.2,5.74249,0.79,0.99975,4.51918,0.14,0.99986,0.58,12.08676,1.17,5.88811,1.01,9.41422
2023-03-12 04:03:31.329000000,1.75,5.61,1.92,1.59342,0.79,4.51918,1.21,0.9985,5.46779,0.29,0.99975,3.21,9.41422,1.01,1.93938,0.91,12.76576
2023-03-12 04:08:37.568000000,1.46,3.42,1.75,1.15684,1.21,5.46779,0.54,1.00075,2.96045,0.39,0.9985,2.34,12.76576,0.91,1.63456,0.83,9.34046
2023-03-12 04:13:43.208000000,1.74,2.32,1.46,1.21317,0.54,2.96045,1.19,1.00029,3.52655,0.34,1.00075,1.33,9.34046,0.83,2.1312,1.19,8.31938
2023-03-12 04:18:46.133000000,1.68,8.48,1.74,1.59073,1.19,3.52655,0.68,0.99964,2.38095,0.67,1.00029,5.05,8.31938,1.19,1.80346,0.97,5.89172
2023-03-12 04:23:51.700000000,2.07,3.73,1.68,0.8067,0.68,2.38095,1.04,1.00039,2.47529,0.33,0.99964,1.8,5.89172,0.97,1.10233,1.23,4.78023
2023-03-12 04:28:58.852000000,1.59,2.85,2.07,0.97533,1.04,2.47529,1.31,0.99975,3.24427,0.3,1.00039,1.79,4.78023,1.23,1.50221,0.77,8.73681
2023-03-12 04:34:03.883000000,1.72,1.48,1.59,0.88156,1.31,3.24427,0.7,0.99953,2.28644,0.39,0.99975,0.86,8.73681,0.77,2.73702,1.08,5.47972
2023-03-12 04:39:09.448000000,1.89,3.25,1.72,0.80255,0.7,2.28644,1.78,0.99953,4.0623,0.2,0.99953,1.72,5.47972,1.08,1.15906,1.1,8.61778
2023-03-12 04:44:16.050000000,1.51,3.5,1.89,0.05,1.78,4.0623,0.67,1.00082,2.73346,0.02,0.99953,2.32,8.61778,1.1,0.07,0.8,8.07346
2023-03-12 04:45:03.553000000,1.51,3.5,1.89,0.05,1.78,4.0623,0.67,1.00082,2.73346,0.02,0.99953,2.32,8.61778,1.1,0.07,0.8,8.07346
2023-03-12 04:54:30.378000000,1.79,6.65,2.19,5.67042,2.49,6.79715,0.75,1.00014,5.12707,1.11,0.99964,3.72,12.49113,1.45,6.67331,0.82,11.58732
2023-03-12 04:55:04.661000000,1.79,1.96,2.19,7.02066,2.49,6.79715,0.75,1.00014,5.12707,1.37,0.99964,1.09,12.49113,1.45,14.29818,0.82,11.58732
2023-03-12 05:00:03.207000000,1.96,1.71,1.79,3.02348,0.75,5.12707,1.37,1.00025,7.02066,0.43,1.00014,0.87,11.58732,0.82,7.30796,1.09,14.29818
2023-03-12 05:05:03.650000000,1.71,2.6,1.96,8.16449,1.37,7.02066,0.43,1.00125,3.02348,2.7,1.00025,1.52,14.29818,1.09,13.26577,0.87,7.30796
2023-03-12 05:10:03.921000000,1.76,6.19,1.71,5.85489,0.43,3.02348,2.87,1.00243,8.67287,0.68,1.00125,3.52,7.30796,0.87,6.98246,1.03,20.10764
2023-03-12 05:15:04.265000000,1.95,3.21,1.76,0.83538,2.87,8.67287,1.17,1.00136,10.10667,0.08,1.00243,1.65,20.10764,1.03,1.21376,1.11,20.75547
2023-03-12 05:20:06.700000000,2.06,3.42,1.95,2.34949,1.17,10.10667,0.46,1.00071,4.63065,0.51,1.00136,1.66,20.75547,1.11,3.32126,1.06,9.01699
2023-03-12 05:25:12.097000000,1.59,2.35,2.06,0.65372,0.46,4.63065,0.79,1.001,3.65597,0.18,1.00071,1.48,9.01699,1.06,1.13786,0.77,9.8868
2023-03-12 05:30:20.533000000,1.78,7.39,1.59,1.78092,0.79,3.65597,2.38,0.9994,8.70574,0.2,1.001,4.15,9.8868,0.77,2.05956,1.12,19.81866
2023-03-12 05:35:28.834000000,1.6,10.4,1.78,4.42708,2.38,8.70574,0.49,0.99979,4.24928,1.04,0.9994,6.5,19.81866,1.12,4.89612,0.9,11.29168
